"Points:0","Points:1","Points:2"
3.471e+06,0,0
3.496e+06,0,0
3.521e+06,0,0
3.546e+06,0,0
3.571e+06,0,0
3.596e+06,0,0
3.621e+06,0,0
3.646e+06,0,0
3.671e+06,0,0
3.696e+06,0,0
3.721e+06,0,0
3.746e+06,0,0
3.771e+06,0,0
3.796e+06,0,0
3.821e+06,0,0
3.846e+06,0,0
3.871e+06,0,0
3.896e+06,0,0
3.921e+06,0,0
3.946e+06,0,0
3.971e+06,0,0
3.996e+06,0,0
4.021e+06,0,0
4.046e+06,0,0
4.071e+06,0,0
4.096e+06,0,0
4.121e+06,0,0
4.146e+06,0,0
4.171e+06,0,0
4.196e+06,0,0
4.221e+06,0,0
4.246e+06,0,0
4.271e+06,0,0
4.296e+06,0,0
4.321e+06,0,0
4.346e+06,0,0
4.371e+06,0,0
4.396e+06,0,0
4.421e+06,0,0
4.446e+06,0,0
4.471e+06,0,0
4.496e+06,0,0
4.521e+06,0,0
4.546e+06,0,0
4.571e+06,0,0
4.596e+06,0,0
4.621e+06,0,0
4.646e+06,0,0
4.671e+06,0,0
4.696e+06,0,0
4.721e+06,0,0
4.746e+06,0,0
4.771e+06,0,0
4.796e+06,0,0
4.821e+06,0,0
4.846e+06,0,0
4.871e+06,0,0
4.896e+06,0,0
4.921e+06,0,0
4.946e+06,0,0
4.971e+06,0,0
4.996e+06,0,0
5.021e+06,0,0
5.046e+06,0,0
5.071e+06,0,0
5.096e+06,0,0
5.121e+06,0,0
5.146e+06,0,0
5.171e+06,0,0
5.196e+06,0,0
5.221e+06,0,0
5.246e+06,0,0
5.271e+06,0,0
5.296e+06,0,0
5.321e+06,0,0
5.346e+06,0,0
5.371e+06,0,0
5.396e+06,0,0
5.421e+06,0,0
5.446e+06,0,0
5.471e+06,0,0
5.496e+06,0,0
5.521e+06,0,0
5.546e+06,0,0
5.571e+06,0,0
5.596e+06,0,0
5.621e+06,0,0
5.646e+06,0,0
5.671e+06,0,0
5.696e+06,0,0
5.721e+06,0,0
5.746e+06,0,0
5.771e+06,0,0
5.796e+06,0,0
5.821e+06,0,0
5.846e+06,0,0
5.871e+06,0,0
5.896e+06,0,0
5.921e+06,0,0
5.946e+06,0,0
5.971e+06,0,0
5.996e+06,0,0
6.021e+06,0,0
6.046e+06,0,0
6.071e+06,0,0
6.096e+06,0,0
6.121e+06,0,0
6.146e+06,0,0
6.171e+06,0,0
6.196e+06,0,0
6.221e+06,0,0
6.246e+06,0,0
6.271e+06,0,0
6.296e+06,0,0
6.321e+06,0,0
6.346e+06,0,0
6.371e+06,0,0
3.4709e+06,30290,0
3.4959e+06,30508,0
3.5209e+06,30726,0
3.5459e+06,30944,0
3.5709e+06,31162,0
3.5959e+06,31381,0
3.6209e+06,31599,0
3.6459e+06,31817,0
3.6709e+06,32035,0
3.6959e+06,32253,0
3.7209e+06,32471,0
3.7459e+06,32690,0
3.7709e+06,32908,0
3.7959e+06,33126,0
3.8209e+06,33344,0
3.8459e+06,33562,0
3.8709e+06,33780,0
3.8959e+06,33999,0
3.9209e+06,34217,0
3.9458e+06,34435,0
3.9708e+06,34653,0
3.9958e+06,34871,0
4.0208e+06,35089,0
4.0458e+06,35308,0
4.0708e+06,35526,0
4.0958e+06,35744,0
4.1208e+06,35962,0
4.1458e+06,36180,0
4.1708e+06,36398,0
4.1958e+06,36617,0
4.2208e+06,36835,0
4.2458e+06,37053,0
4.2708e+06,37271,0
4.2958e+06,37489,0
4.3208e+06,37707,0
4.3458e+06,37926,0
4.3708e+06,38144,0
4.3958e+06,38362,0
4.4208e+06,38580,0
4.4458e+06,38798,0
4.4708e+06,39016,0
4.4958e+06,39235,0
4.5208e+06,39453,0
4.5458e+06,39671,0
4.5708e+06,39889,0
4.5958e+06,40107,0
4.6208e+06,40325,0
4.6458e+06,40543,0
4.6708e+06,40762,0
4.6958e+06,40980,0
4.7208e+06,41198,0
4.7458e+06,41416,0
4.7708e+06,41634,0
4.7958e+06,41852,0
4.8208e+06,42071,0
4.8458e+06,42289,0
4.8708e+06,42507,0
4.8958e+06,42725,0
4.9208e+06,42943,0
4.9458e+06,43161,0
4.9708e+06,43380,0
4.9958e+06,43598,0
5.0208e+06,43816,0
5.0458e+06,44034,0
5.0708e+06,44252,0
5.0958e+06,44470,0
5.1208e+06,44689,0
5.1458e+06,44907,0
5.1708e+06,45125,0
5.1958e+06,45343,0
5.2208e+06,45561,0
5.2458e+06,45779,0
5.2708e+06,45998,0
5.2958e+06,46216,0
5.3208e+06,46434,0
5.3458e+06,46652,0
5.3708e+06,46870,0
5.3958e+06,47088,0
5.4208e+06,47307,0
5.4458e+06,47525,0
5.4708e+06,47743,0
5.4958e+06,47961,0
5.5208e+06,48179,0
5.5458e+06,48397,0
5.5708e+06,48616,0
5.5958e+06,48834,0
5.6208e+06,49052,0
5.6458e+06,49270,0
5.6708e+06,49488,0
5.6958e+06,49706,0
5.7208e+06,49925,0
5.7458e+06,50143,0
5.7708e+06,50361,0
5.7958e+06,50579,0
5.8208e+06,50797,0
5.8458e+06,51015,0
5.8708e+06,51233,0
5.8958e+06,51452,0
5.9208e+06,51670,0
5.9458e+06,51888,0
5.9708e+06,52106,0
5.9958e+06,52324,0
6.0208e+06,52542,0
6.0458e+06,52761,0
6.0708e+06,52979,0
6.0958e+06,53197,0
6.1208e+06,53415,0
6.1458e+06,53633,0
6.1708e+06,53851,0
6.1958e+06,54070,0
6.2208e+06,54288,0
6.2458e+06,54506,0
6.2708e+06,54724,0
6.2958e+06,54942,0
6.3208e+06,55160,0
6.3458e+06,55379,0
6.3708e+06,55597,0
3.4705e+06,60577,0
3.4955e+06,61014,0
3.5205e+06,61450,0
3.5455e+06,61886,0
3.5705e+06,62323,0
3.5955e+06,62759,0
3.6204e+06,63195,0
3.6454e+06,63631,0
3.6704e+06,64068,0
