#Normals:0,Normals:1,Normals:2,x,y,z
0.88302,-0.32139,0.34202,5.4491e+06,-1.9833e+06,2.1106e+06
0.88751,-0.32303,0.3286,5.4768e+06,-1.9934e+06,2.0278e+06
0.89182,-0.3246,0.31511,5.5034e+06,-2.0031e+06,1.9445e+06
0.89595,-0.3261,0.30155,5.5289e+06,-2.0124e+06,1.8609e+06
0.8999,-0.32754,0.28794,5.5533e+06,-2.0212e+06,1.7769e+06
0.90366,-0.3289,0.27427,5.5765e+06,-2.0297e+06,1.6925e+06
0.90724,-0.33021,0.26054,5.5986e+06,-2.0377e+06,1.6078e+06
0.91063,-0.33144,0.24676,5.6195e+06,-2.0453e+06,1.5227e+06
0.91385,-0.33261,0.23293,5.6393e+06,-2.0526e+06,1.4374e+06
0.91687,-0.33371,0.21905,5.658e+06,-2.0593e+06,1.3517e+06
0.91971,-0.33475,0.20512,5.6755e+06,-2.0657e+06,1.2658e+06
0.92236,-0.33571,0.19116,5.6919e+06,-2.0717e+06,1.1796e+06
0.92483,-0.33661,0.17715,5.7071e+06,-2.0772e+06,1.0932e+06
0.92711,-0.33744,0.16312,5.7212e+06,-2.0823e+06,1.0066e+06
0.9292,-0.3382,0.14904,5.7341e+06,-2.087e+06,9.1974e+05
0.9311,-0.33889,0.13494,5.7458e+06,-2.0913e+06,8.3271e+05
0.93281,-0.33952,0.12081,5.7564e+06,-2.0951e+06,7.4551e+05
0.93433,-0.34007,0.10665,5.7658e+06,-2.0986e+06,6.5816e+05
0.93567,-0.34055,0.092477,5.774e+06,-2.1016e+06,5.7068e+05
0.93681,-0.34097,0.078282,5.781e+06,-2.1041e+06,4.8308e+05
0.93776,-0.34132,0.06407,5.7869e+06,-2.1063e+06,3.9538e+05
0.93852,-0.34159,0.049846,5.7916e+06,-2.108e+06,3.076e+05
0.9391,-0.3418,0.035611,5.7952e+06,-2.1093e+06,2.1976e+05
0.93948,-0.34194,0.02137,5.7975e+06,-2.1101e+06,1.3187e+05
0.93967,-0.34201,0.0071237,5.7987e+06,-2.1106e+06,43961
0.93967,-0.34201,-0.0071237,5.7987e+06,-2.1106e+06,-43961
0.93948,-0.34194,-0.02137,5.7975e+06,-2.1101e+06,-1.3187e+05
0.9391,-0.3418,-0.035611,5.7952e+06,-2.1093e+06,-2.1976e+05
0.93852,-0.34159,-0.049846,5.7916e+06,-2.108e+06,-3.076e+05
0.93776,-0.34132,-0.06407,5.7869e+06,-2.1063e+06,-3.9538e+05
0.93681,-0.34097,-0.078282,5.781e+06,-2.1041e+06,-4.8308e+05
0.93567,-0.34055,-0.092477,5.774e+06,-2.1016e+06,-5.7068e+05
0.93433,-0.34007,-0.10665,5.7658e+06,-2.0986e+06,-6.5816e+05
0.93281,-0.33952,-0.12081,5.7564e+06,-2.0951e+06,-7.4551e+05
0.9311,-0.33889,-0.13494,5.7458e+06,-2.0913e+06,-8.3271e+05
0.9292,-0.3382,-0.14904,5.7341e+06,-2.087e+06,-9.1974e+05
0.92711,-0.33744,-0.16312,5.7212e+06,-2.0823e+06,-1.0066e+06
0.92483,-0.33661,-0.17715,5.7071e+06,-2.0772e+06,-1.0932e+06
0.92236,-0.33571,-0.19116,5.6919e+06,-2.0717e+06,-1.1796e+06
0.91971,-0.33475,-0.20512,5.6755e+06,-2.0657e+06,-1.2658e+06
0.91687,-0.33371,-0.21905,5.658e+06,-2.0593e+06,-1.3517e+06
0.91385,-0.33261,-0.23293,5.6393e+06,-2.0526e+06,-1.4374e+06
0.91063,-0.33144,-0.24676,5.6195e+06,-2.0453e+06,-1.5227e+06
0.90724,-0.33021,-0.26054,5.5986e+06,-2.0377e+06,-1.6078e+06
0.90366,-0.3289,-0.27427,5.5765e+06,-2.0297e+06,-1.6925e+06
0.8999,-0.32754,-0.28794,5.5533e+06,-2.0212e+06,-1.7769e+06
0.89595,-0.3261,-0.30155,5.5289e+06,-2.0124e+06,-1.8609e+06
0.89182,-0.3246,-0.31511,5.5034e+06,-2.0031e+06,-1.9445e+06
0.88751,-0.32303,-0.3286,5.4768e+06,-1.9934e+06,-2.0278e+06
0.88302,-0.32139,-0.34202,5.4491e+06,-1.9833e+06,-2.1106e+06
0.88742,-0.30903,0.34202,5.4763e+06,-1.907e+06,2.1106e+06
0.89194,-0.3106,0.3286,5.5041e+06,-1.9167e+06,2.0278e+06
0.89627,-0.31211,0.31511,5.5309e+06,-1.926e+06,1.9445e+06
0.90041,-0.31356,0.30155,5.5565e+06,-1.935e+06,1.8609e+06
0.90438,-0.31494,0.28794,5.5809e+06,-1.9435e+06,1.7769e+06
0.90816,-0.31626,0.27427,5.6043e+06,-1.9516e+06,1.6925e+06
0.91176,-0.31751,0.26054,5.6265e+06,-1.9593e+06,1.6078e+06
0.91517,-0.3187,0.24676,5.6475e+06,-1.9667e+06,1.5227e+06
0.9184,-0.31982,0.23293,5.6675e+06,-1.9736e+06,1.4374e+06
0.92144,-0.32088,0.21905,5.6862e+06,-1.9801e+06,1.3517e+06
0.9243,-0.32187,0.20512,5.7038e+06,-1.9863e+06,1.2658e+06
0.92696,-0.3228,0.19116,5.7203e+06,-1.992e+06,1.1796e+06
0.92944,-0.32366,0.17715,5.7356e+06,-1.9973e+06,1.0932e+06
0.93173,-0.32446,0.16312,5.7497e+06,-2.0023e+06,1.0066e+06
0.93383,-0.32519,0.14904,5.7627e+06,-2.0068e+06,9.1974e+05
0.93574,-0.32586,0.13494,5.7744e+06,-2.0109e+06,8.3271e+05
0.93746,-0.32646,0.12081,5.7851e+06,-2.0146e+06,7.4551e+05
